date,spx,vix,vix3m
2006-07-17,1234.489990234375,18.639999389648438,18.049999237060547
2006-07-18,1236.8599853515625,17.739999771118164,17.219999313354492
2006-07-19,1259.81005859375,15.550000190734863,15.600000381469727
2006-07-20,1249.1300048828125,16.209999084472656,16.309999465942383
2006-07-21,1240.2900390625,17.399999618530273,17.040000915527344
2006-07-24,1260.9100341796875,14.979999542236328,15.40999984741211
2006-07-25,1268.8800048828125,14.850000381469727,14.609999656677246
2006-07-26,1268.4000244140625,14.619999885559082,14.579999923706055
2006-07-27,1263.199951171875,14.9399995803833,15.15999984741211
2006-07-28,1278.550048828125,14.329999923706055,14.630000114440918
2006-07-31,1276.6600341796875,14.949999809265137,15.25
2006-08-01,1270.9200439453125,15.050000190734863,15.390000343322754
2006-08-02,1277.4100341796875,14.34000015258789,15.0600004196167
2006-08-03,1280.27001953125,14.460000038146973,15.050000190734863
2006-08-04,1279.3599853515625,14.34000015258789,15.09000015258789
2006-08-07,1275.77001953125,15.229999542236328,15.350000381469727
2006-08-08,1271.47998046875,15.229999542236328,15.470000267028809
2006-08-09,1265.949951171875,15.199999809265137,15.579999923706055
2006-08-10,1271.81005859375,14.460000038146973,15.279999732971191
2006-08-11,1266.739990234375,14.300000190734863,15.279999732971191
2006-08-14,1268.2099609375,14.260000228881836,15.279999732971191
2006-08-15,1285.5799560546875,13.420000076293945,14.520000457763672
2006-08-16,1295.4300537109375,12.40999984741211,14.029999732971191
2006-08-17,1297.47998046875,12.239999771118164,13.380000114440918
2006-08-18,1302.300048828125,11.640000343322754,13.100000381469727
2006-08-21,1297.52001953125,12.220000267028809,13.420000076293945
2006-08-22,1298.8199462890625,12.1899995803833,13.430000305175781
2006-08-23,1292.989990234375,12.399999618530273,13.5600004196167
2006-08-24,1296.06005859375,12.399999618530273,13.579999923706055
2006-08-25,1295.0899658203125,12.3100004196167,13.510000228881836
2006-08-28,1301.780029296875,12.180000305175781,13.359999656677246
2006-08-29,1304.280029296875,12.279999732971191,13.380000114440918
2006-08-30,1305.3699951171875,12.220000267028809,13.319999694824219
2006-08-31,1303.8199462890625,12.3100004196167,13.300000190734863
2006-09-01,1311.010009765625,11.960000038146973,13.1899995803833
2006-09-05,1313.25,12.630000114440918,13.359999656677246
2006-09-06,1300.260009765625,13.739999771118164,14.319999694824219
2006-09-07,1294.02001953125,13.880000114440918,14.470000267028809
2006-09-08,1298.9200439453125,13.15999984741211,14.1899995803833
2006-09-11,1299.5400390625,12.989999771118164,14.199999809265137
2006-09-12,1313.0,11.920000076293945,13.520000457763672
2006-09-13,1318.0699462890625,11.180000305175781,13.34000015258789
2006-09-14,1316.280029296875,11.550000190734863,13.550000190734863
2006-09-15,1319.6600341796875,11.760000228881836,13.40999984741211
2006-09-18,1321.1800537109375,11.779999732971191,13.399999618530273
2006-09-19,1317.6400146484375,11.979999542236328,13.550000190734863
2006-09-20,1325.1800537109375,11.390000343322754,13.279999732971191
2006-09-21,1318.030029296875,12.25,13.609999656677246
2006-09-22,1314.780029296875,12.59000015258789,14.09000015258789
2006-09-25,1326.3699951171875,12.119999885559082,13.460000038146973
2006-09-26,1336.3499755859375,11.529999732971191,13.100000381469727
2006-09-27,1336.5899658203125,11.579999923706055,13.220000267028809
2006-09-28,1338.8800048828125,11.720000267028809,13.289999961853027
2006-09-29,1335.8499755859375,11.979999542236328,13.449999809265137
2006-10-02,1331.3199462890625,12.569999694824219,13.59000015258789
2006-10-03,1334.1099853515625,12.239999771118164,13.5
2006-10-04,1350.199951171875,11.859999656677246,13.239999771118164
2006-10-05,1353.219970703125,11.979999542236328,13.279999732971191
2006-10-06,1349.5899658203125,11.5600004196167,13.079999923706055
2006-10-09,1350.6600341796875,11.680000305175781,13.0600004196167
2006-10-10,1353.4200439453125,11.520000457763672,13.050000190734863
2006-10-11,1349.949951171875,11.619999885559082,13.100000381469727
2006-10-12,1362.8299560546875,11.09000015258789,12.420000076293945
2006-10-13,1365.6199951171875,10.75,12.199999809265137
2006-10-16,1369.06005859375,11.09000015258789,12.350000381469727
2006-10-17,1364.050048828125,11.729999542236328,12.630000114440918
2006-10-18,1365.800048828125,11.34000015258789,12.470000267028809
2006-10-19,1366.9599609375,10.899999618530273,12.3100004196167
2006-10-20,1368.5999755859375,10.630000114440918,12.0600004196167
2006-10-23,1377.02001953125,11.079999923706055,12.210000038146973
2006-10-24,1377.3800048828125,10.779999732971191,11.510000228881836
2006-10-25,1382.219970703125,10.65999984741211,11.359999656677246
2006-10-26,1389.0799560546875,10.5600004196167,11.229999542236328
2006-10-27,1377.3399658203125,10.800000190734863,11.369999885559082
2006-10-30,1377.9300537109375,11.199999809265137,12.039999961853027
2006-10-31,1377.93994140625,11.100000381469727,11.399999618530273
2006-11-01,1367.81005859375,11.510000228881836,12.079999923706055
2006-11-02,1367.3399658203125,11.420000076293945,12.119999885559082
2006-11-03,1364.300048828125,11.15999984741211,12.079999923706055
2006-11-06,1379.780029296875,11.15999984741211,11.399999618530273
2006-11-07,1382.8399658203125,11.09000015258789,11.350000381469727
2006-11-08,1385.719970703125,10.75,11.1899995803833
2006-11-09,1378.3299560546875,11.010000228881836,11.369999885559082
2006-11-10,1380.9000244140625,10.789999961853027,11.489999771118164
2006-11-13,1384.4200439453125,10.859999656677246,11.380000114440918
2006-11-14,1393.219970703125,10.5,11.170000076293945
2006-11-15,1396.5699462890625,10.3100004196167,11.119999885559082
2006-11-16,1399.760009765625,10.15999984741211,11.029999732971191
2006-11-17,1401.199951171875,10.050000190734863,11.0600004196167
2006-11-20,1400.5,9.970000267028809,11.180000305175781
2006-11-21,1402.81005859375,9.899999618530273,11.1899995803833
2006-11-22,1406.0899658203125,10.140000343322754,11.520000457763672
2006-11-24,1400.949951171875,10.729999542236328,12.279999732971191
2006-11-27,1381.9599609375,12.300000190734863,13.270000457763672
2006-11-28,1386.719970703125,11.619999885559082,12.630000114440918
2006-11-29,1399.47998046875,10.829999923706055,12.199999809265137
2006-11-30,1400.6300048828125,10.90999984741211,12.3100004196167
2006-12-01,1396.7099609375,11.65999984741211,12.59000015258789
2006-12-04,1409.1199951171875,11.229999542236328,12.399999618530273
2006-12-05,1414.760009765625,11.270000457763672,12.4399995803833
2006-12-06,1412.9000244140625,11.329999923706055,12.510000228881836
2006-12-07,1407.2900390625,12.670000076293945,13.479999542236328
2006-12-08,1409.8399658203125,12.069999694824219,13.3100004196167
2006-12-11,1413.0400390625,10.710000038146973,13.25
2006-12-12,1411.56005859375,10.649999618530273,13.170000076293945
2006-12-13,1413.2099609375,10.180000305175781,13.0600004196167
2006-12-14,1425.489990234375,9.970000267028809,13.010000228881836
2006-12-15,1427.0899658203125,10.050000190734863,13.130000114440918
2006-12-18,1422.47998046875,10.600000381469727,13.1899995803833
2006-12-19,1425.550048828125,10.300000190734863,12.630000114440918
2006-12-20,1423.530029296875,10.260000228881836,12.529999732971191
2006-12-21,1418.300048828125,10.529999732971191,13.100000381469727
2006-12-22,1410.760009765625,11.359999656677246,13.300000190734863
2006-12-26,1416.9000244140625,11.260000228881836,13.130000114440918
2006-12-27,1426.8399658203125,10.640000343322754,12.59000015258789
2006-12-28,1424.72998046875,10.989999771118164,13.100000381469727
2006-12-29,1418.300048828125,11.5600004196167,13.289999961853027
2007-01-03,1416.5999755859375,12.039999961853027,13.380000114440918
2007-01-04,1418.3399658203125,11.510000228881836,13.130000114440918
2007-01-05,1409.7099609375,12.140000343322754,13.40999984741211
2007-01-08,1412.8399658203125,12.0,13.279999732971191
2007-01-09,1412.1099853515625,11.90999984741211,13.260000228881836
2007-01-10,1414.8499755859375,11.470000267028809,13.020000457763672
2007-01-11,1423.8199462890625,10.869999885559082,12.380000114440918
2007-01-12,1430.72998046875,10.149999618530273,12.069999694824219
2007-01-16,1431.9000244140625,10.739999771118164,12.220000267028809
2007-01-17,1430.6199951171875,10.59000015258789,12.079999923706055
2007-01-18,1426.3699951171875,10.850000381469727,12.100000381469727
2007-01-19,1430.5,10.399999618530273,11.609999656677246
2007-01-22,1422.949951171875,10.770000457763672,12.170000076293945
2007-01-23,1427.989990234375,10.34000015258789,11.539999961853027
2007-01-24,1440.1300048828125,9.890000343322754,11.229999542236328
2007-01-25,1423.9000244140625,11.220000267028809,12.119999885559082
2007-01-26,1422.1800537109375,11.130000114440918,12.09000015258789
2007-01-29,1420.6199951171875,11.449999809265137,12.170000076293945
2007-01-30,1428.8199462890625,10.960000038146973,11.600000381469727
2007-01-31,1438.239990234375,10.420000076293945,11.329999923706055
2007-02-01,1445.93994140625,10.3100004196167,11.289999961853027
2007-02-02,1448.3900146484375,10.079999923706055,11.239999771118164
2007-02-05,1446.989990234375,10.550000190734863,11.420000076293945
2007-02-06,1448.0,10.649999618530273,11.399999618530273
2007-02-07,1450.02001953125,10.319999694824219,11.3100004196167
2007-02-08,1448.31005859375,10.4399995803833,11.420000076293945
2007-02-09,1438.06005859375,11.100000381469727,12.149999618530273
2007-02-12,1433.3699951171875,11.609999656677246,12.369999885559082
2007-02-13,1444.260009765625,10.34000015258789,11.449999809265137
2007-02-14,1455.300048828125,10.229999542236328,11.260000228881836
2007-02-15,1456.81005859375,10.220000267028809,11.260000228881836
2007-02-16,1455.5400390625,10.020000457763672,11.199999809265137
2007-02-20,1459.6800537109375,10.239999771118164,11.359999656677246
2007-02-21,1457.6300048828125,10.199999809265137,11.380000114440918
2007-02-22,1456.3800048828125,10.180000305175781,11.34000015258789
2007-02-23,1451.18994140625,10.579999923706055,12.0
2007-02-26,1449.3699951171875,11.149999618530273,12.180000305175781
2007-02-27,1399.0400390625,18.309999465942383,17.059999465942383
2007-02-28,1406.8199462890625,15.420000076293945,14.470000267028809
2007-03-01,1403.1700439453125,15.819999694824219,14.579999923706055
2007-03-02,1387.1700439453125,18.610000610351562,16.469999313354492
2007-03-05,1374.1199951171875,19.6299991607666,17.360000610351562
2007-03-06,1395.4100341796875,15.960000038146973,15.34000015258789
2007-03-07,1391.969970703125,15.239999771118164,15.029999732971191
2007-03-08,1401.8900146484375,14.289999961853027,14.300000190734863
2007-03-09,1402.8399658203125,14.09000015258789,14.260000228881836
2007-03-12,1406.5999755859375,13.989999771118164,14.149999618530273
2007-03-13,1377.949951171875,18.1299991607666,16.3799991607666
2007-03-14,1387.1700439453125,17.270000457763672,16.15999984741211
2007-03-15,1392.280029296875,16.43000030517578,16.020000457763672
2007-03-16,1386.949951171875,16.790000915527344,16.549999237060547
2007-03-19,1402.06005859375,14.59000015258789,15.130000114440918
2007-03-20,1410.93994140625,13.270000457763672,14.289999961853027
2007-03-21,1435.0400390625,12.1899995803833,13.109999656677246
2007-03-22,1434.5400390625,12.930000305175781,13.359999656677246
2007-03-23,1436.1099853515625,12.949999809265137,13.449999809265137
