date,spx,vix,vix3m,rv_30,vrp,slope,log_ret,rv_daily,iv_daily,regime,regime_label
2006-08-29,1304.280029296875,12.279999732971191,13.380000114440918,0.1064107479965217,0.0163892493331902,0.0895765802434246,0.0019186056427523,3.6810476124012182e-06,5.984063231816371e-05,2,calm
2006-08-30,1305.3699951171875,12.220000267028809,13.31999969482422,0.0940346010967965,0.0281654015734915,0.0900163178198413,0.0008353349096587,6.977844112946311e-07,5.925730417705721e-05,2,calm
2006-08-31,1303.8199462890625,12.3100004196167,13.300000190734863,0.0897698319310665,0.0333301722651004,0.080422399461542,-0.0011881457810914,1.411690397125441e-06,6.013337711546164e-05,2,calm
2006-09-01,1311.010009765625,11.960000038146973,13.1899995803833,0.0867428168972656,0.032857183484204,0.1028427707619722,0.0054994639948373,3.0244104230512412e-05,5.6762540044633175e-05,2,calm
2006-09-05,1313.25,12.630000114440918,13.359999656677246,0.0748247582584714,0.0514752428859377,0.0577988547602354,0.0017071408854651,2.91433000282658e-06,6.330035828999111e-05,2,calm
2006-09-06,1300.260009765625,13.739999771118164,14.31999969482422,0.080116867887335,0.0572831298238466,0.042212513345541,-0.0099407288712594,9.881809049189058e-05,7.491571178981238e-05,2,calm
2006-09-07,1294.02001953125,13.880000114440918,14.470000267028809,0.0817043368641328,0.0570956642802763,0.0425072152538419,-0.0048105849773983,2.3141727824770336e-05,7.645015999082537e-05,2,calm
2006-09-08,1298.9200439453125,13.15999984741211,14.1899995803833,0.0808930015298976,0.0507069969442234,0.0782674578202019,0.0037795167856356,1.4284747132901908e-05,6.872444285074871e-05,2,calm
2006-09-11,1299.5400390625,12.989999771118164,14.199999809265137,0.0736637072976759,0.0562362904135056,0.093148580405465,0.0004772019651234,2.2772171551770845e-07,6.696035478319442e-05,2,calm
2006-09-12,1313.0,11.920000076293944,13.520000457763672,0.0786039866960537,0.0405960140668857,0.1342282190628295,0.0103042095666237,0.0001061767347929,5.6383492785257e-05,2,calm
2006-09-13,1318.0699462890625,11.18000030517578,13.34000015258789,0.0772982499634038,0.0345017530883539,0.1932021277684706,0.0038539093735431,1.4852617459483375e-05,4.960016143798831e-05,2,calm
2006-09-14,1316.280029296875,11.550000190734863,13.550000190734863,0.0767445481990612,0.0387554537082874,0.1731601703006336,-0.0013589062077688,1.8466260815127496e-06,5.293750174840293e-05,2,calm
2006-09-15,1319.6600341796875,11.760000228881836,13.40999984741211,0.0767963964442695,0.0408036058445488,0.1403060872803366,0.0025645550763112,6.5769427394338585e-06,5.4880002136230486e-05,2,calm
2006-09-18,1321.1800537109375,11.779999732971191,13.399999618530272,0.0766231844625816,0.0411768128671302,0.1375212158133452,0.00115116375738,1.3251779963054234e-06,5.5066822900318e-05,2,calm
